(img_auth_det) C:\Users\RITESH\OneDrive\Desktop\livres\PROJECTS\image_authenticity_detector\scripts>python training_full.py
Running on device: cuda
Starting full training
Epoch 1 | Batch 6175/8918 | Loss: 0.3467
Epoch 1 | Batch 6200/8918 | Loss: 0.6349
Epoch 1 | Batch 6225/8918 | Loss: 0.4681
Epoch 1 | Batch 6250/8918 | Loss: 0.5245
Epoch 1 | Batch 6275/8918 | Loss: 0.3780
Epoch 1 | Batch 6300/8918 | Loss: 0.2178
Epoch 1 | Batch 6325/8918 | Loss: 0.7446
Epoch 1 | Batch 6350/8918 | Loss: 0.6293
Epoch 1 | Batch 6375/8918 | Loss: 0.2188
Epoch 1 | Batch 6400/8918 | Loss: 0.9900
Epoch 1 | Batch 6425/8918 | Loss: 0.2241
Epoch 1 | Batch 6450/8918 | Loss: 0.7368
Epoch 1 | Batch 6475/8918 | Loss: 0.2482
Epoch 1 | Batch 6500/8918 | Loss: 0.6347
Epoch 1 | Batch 6525/8918 | Loss: 0.5947
Epoch 1 | Batch 6550/8918 | Loss: 0.3485
Epoch 1 | Batch 6575/8918 | Loss: 0.1050
Epoch 1 | Batch 6600/8918 | Loss: 0.2492
Epoch 1 | Batch 6625/8918 | Loss: 0.1369
Epoch 1 | Batch 6650/8918 | Loss: 0.4363
Epoch 1 | Batch 6675/8918 | Loss: 0.1412
Epoch 1 | Batch 6700/8918 | Loss: 0.2010
Epoch 1 | Batch 6725/8918 | Loss: 0.2114
Epoch 1 | Batch 6750/8918 | Loss: 0.3400
Epoch 1 | Batch 6775/8918 | Loss: 0.3203
Epoch 1 | Batch 6800/8918 | Loss: 0.1610
Epoch 1 | Batch 6825/8918 | Loss: 0.3868
Epoch 1 | Batch 6850/8918 | Loss: 0.3406
Epoch 1 | Batch 6875/8918 | Loss: 0.1359
Epoch 1 | Batch 6900/8918 | Loss: 0.4324
Epoch 1 | Batch 6925/8918 | Loss: 0.5941
Epoch 1 | Batch 6950/8918 | Loss: 0.7617
Epoch 1 | Batch 6975/8918 | Loss: 0.3806
Epoch 1 | Batch 7000/8918 | Loss: 0.4908
Epoch 1 | Batch 7025/8918 | Loss: 0.3053
Epoch 1 | Batch 7050/8918 | Loss: 0.1248
Epoch 1 | Batch 7075/8918 | Loss: 0.4513
Epoch 1 | Batch 7100/8918 | Loss: 0.2250
Epoch 1 | Batch 7125/8918 | Loss: 0.1980
Epoch 1 | Batch 7150/8918 | Loss: 0.3231
Epoch 1 | Batch 7175/8918 | Loss: 0.1526
Epoch 1 | Batch 7200/8918 | Loss: 0.5148
Epoch 1 | Batch 7225/8918 | Loss: 0.4887
Epoch 1 | Batch 7250/8918 | Loss: 0.2415
Epoch 1 | Batch 7275/8918 | Loss: 0.5637
Epoch 1 | Batch 7300/8918 | Loss: 0.5206
Epoch 1 | Batch 7325/8918 | Loss: 0.4238
Epoch 1 | Batch 7350/8918 | Loss: 0.3815
Epoch 1 | Batch 7375/8918 | Loss: 0.1444
Epoch 1 | Batch 7400/8918 | Loss: 0.2330
Epoch 1 | Batch 7425/8918 | Loss: 0.1436
Epoch 1 | Batch 7450/8918 | Loss: 0.3873
Epoch 1 | Batch 7475/8918 | Loss: 0.1944
Epoch 1 | Batch 7500/8918 | Loss: 0.4873
Epoch 1 | Batch 7525/8918 | Loss: 0.2201
Epoch 1 | Batch 7550/8918 | Loss: 0.1025
Epoch 1 | Batch 7575/8918 | Loss: 0.2826
Epoch 1 | Batch 7600/8918 | Loss: 0.3264
Epoch 1 | Batch 7625/8918 | Loss: 0.5017
Epoch 1 | Batch 7650/8918 | Loss: 0.2741
Epoch 1 | Batch 7675/8918 | Loss: 0.8917
Epoch 1 | Batch 7700/8918 | Loss: 0.4166
Epoch 1 | Batch 7725/8918 | Loss: 0.0367
Epoch 1 | Batch 7750/8918 | Loss: 0.4985
Epoch 1 | Batch 7775/8918 | Loss: 0.4226
Epoch 1 | Batch 7800/8918 | Loss: 0.6204
Epoch 1 | Batch 7825/8918 | Loss: 0.4031
Epoch 1 | Batch 7850/8918 | Loss: 0.1957
Epoch 1 | Batch 7875/8918 | Loss: 0.3650
Epoch 1 | Batch 7900/8918 | Loss: 0.2170
Epoch 1 | Batch 7925/8918 | Loss: 0.4739
Epoch 1 | Batch 7950/8918 | Loss: 0.5078
Epoch 1 | Batch 7975/8918 | Loss: 0.5686
Epoch 1 | Batch 8000/8918 | Loss: 0.7929
Epoch 1 | Batch 8025/8918 | Loss: 0.1263
Epoch 1 | Batch 8050/8918 | Loss: 0.7599
Epoch 1 | Batch 8075/8918 | Loss: 0.5234
Epoch 1 | Batch 8100/8918 | Loss: 0.4457
Epoch 1 | Batch 8125/8918 | Loss: 0.7103
Epoch 1 | Batch 8150/8918 | Loss: 0.1664
Epoch 1 | Batch 8175/8918 | Loss: 0.3199
Epoch 1 | Batch 8200/8918 | Loss: 0.2981
Epoch 1 | Batch 8225/8918 | Loss: 0.2295
Epoch 1 | Batch 8250/8918 | Loss: 0.6433
Epoch 1 | Batch 8275/8918 | Loss: 0.1184
Epoch 1 | Batch 8300/8918 | Loss: 0.1865
Epoch 1 | Batch 8325/8918 | Loss: 0.2107
Epoch 1 | Batch 8350/8918 | Loss: 0.1721
Epoch 1 | Batch 8375/8918 | Loss: 0.7888
Epoch 1 | Batch 8400/8918 | Loss: 0.2607
Epoch 1 | Batch 8425/8918 | Loss: 0.3715
Epoch 1 | Batch 8450/8918 | Loss: 0.3050
Epoch 1 | Batch 8475/8918 | Loss: 0.3416
